id,timestamp,txn_amount,merchant_notes
WLT001,2025-06-01 08:32:15,-450.0,Starbucks Coffee
WLT002,2025-06-02 14:20:00,-1200.5,Amazon India Marketplace
WLT003,2025-06-03 09:00:01,5000.0,Salary Credit ACME Corp
WLT004,2025-06-04 00:01:00,-89.99,Netflix Subscription
WLT005,2025-06-05 11:30:00,-2500.0,Rent Payment June
WLT006,2025-06-07 19:45:00,-350.0,Swiggy Order #8821
WLT007,2025-06-07 10:00:00,-999.0,Flipkart Online Shopping Payment
WLT008,2025-06-10 22:15:00,-75.0,Uber Trip Mumbai
WLT009,2025-06-13 08:00:00,-1500.0,MSEDCL Electricity Bill
WLT010,2025-06-16 12:00:00,-99.0,Spotify Premium
WLT011,2025-06-19 18:30:00,-500.0,Zomato Gold
WLT012,2025-06-21 07:00:00,-30.0,Google Play
